Actual,Predicted
2363.1201171875,2351.673
2442.5,2326.4556
2498.77001953125,2398.155
2498.93994140625,2434.7495
2476.9599609375,2438.4626
2491.919921875,2421.6392
2474.330078125,2439.273
2535.61010742187,2416.2878
2568.11010742187,2482.5134
2580.0,2496.1543
2573.51000976562,2515.049
2588.11010742187,2505.8813
2580.31005859375,2524.3486
2585.10009765625,2511.6094
2614.75,2521.5742
2609.28002929688,2545.3213
2651.27001953125,2536.25
2657.8798828125,2582.7507
2643.47998046875,2576.1843
2638.84008789062,2571.6594
2657.43994140625,2566.6714
2644.96997070313,2585.0686
2644.88989257812,2567.6143
2653.6201171875,2574.5503
2685.48999023437,2578.2598
2702.32006835937,2609.6902
2706.48999023437,2618.8274
2728.34008789063,2625.7378
2735.05004882812,2646.7756
2717.53002929688,2648.3352
2692.36010742187,2633.587
2712.39990234375,2612.803
2722.61010742187,2635.3762
2750.30004882812,2636.304
2743.5,2666.8713
2760.23999023437,2652.72
2769.28002929687,2677.5962
2779.05004882812,2677.2507
2780.23999023437,2690.4216
2780.669921875,2688.2341
2804.35009765625,2690.923
2792.36010742187,2712.9277
2787.5,2695.1199
2788.11010742187,2698.739
2798.21997070312,2695.385
2814.3701171875,2706.7842
2794.40991210937,2719.3928
2790.27001953125,2698.0073
2766.53002929687,2702.0781
2730.7900390625,2673.9478
2747.61010742187,2646.968
2787.34008789062,2665.814
2799.78002929687,2695.1929
2810.3798828125,2704.2441
2810.7900390625,2717.0396
2822.61010742187,2714.2786
